channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47304.98609602286,-56538.6481927214,-187500.02235174447,1479043308.545141,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47452.88758908363,-55946.81870303377,-187500.02235174447,1479043308.545557,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47907.87969921585,-56174.1582958887,-187500.02235174447,1479043308.545921,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47813.55533761446,-56786.55139047521,-187500.02235174447,1479043308.546266,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47366.78866944178,-56659.079391846586,-187500.02235174447,1479043308.546599,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47389.81096623075,-56017.53962249037,-187500.02235174447,1479043308.546925,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47850.65923341027,-56075.542399351885,-187500.02235174447,1479043308.547249,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47871.42400400925,-56709.99666571578,-187500.02235174447,1479043308.547582,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47425.730219570425,-56746.78763708921,-187500.02235174447,1479043308.547909,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47330.95882307993,-56103.75030085448,-187500.02235174447,1479043308.548233,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47778.06076741943,-55997.75832864742,-187500.02235174447,1479043308.548529,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47915.05460918601,-56617.32633320407,-187500.02235174447,1479043308.548746,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47499.5133280174,-56816.74859723433,-187500.02235174447,1479043308.54896,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47296.55948836321,-56218.370046421296,-187500.02235174447,1479043308.549172,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47694.599353623315,-55937.78859827383,-187500.02235174447,1479043308.549384,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47946.771734568094,-56507.75808188416,-187500.02235174447,1479043308.5496,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47580.13607026769,-56847.52694934928,-187500.02235174447,1479043308.549813,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47288.37874989257,-56338.06363797947,-187500.02235174447,1479043308.550027,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47603.49364322348,-55919.63898177612,-187500.02235174447,1479043308.55024,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47944.84948454493,-56387.79626939253,-187500.02235174447,1479043308.550457,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47656.8472572383,-56851.34909765114,-187500.02235174447,1479043308.55067,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47287.32821790317,-56449.487084089174,-187500.02235174447,1479043308.550882,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47517.394723581645,-55919.30370560929,-187500.02235174447,1479043308.551094,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47934.99236524014,-56267.14155282278,-187500.02235174447,1479043308.551323,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47747.170656582195,-56829.28792587375,-187500.02235174447,1479043308.551538,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47323.20276775394,-56571.72877451525,-187500.02235174447,1479043308.551749,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47435.2967661973,-55960.542674129334,-187500.02235174447,1479043308.551972,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47883.58335299294,-56154.891092168225,-187500.02235174447,1479043308.552169,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47810.42609339072,-56774.973186847354,-187500.02235174447,1479043308.552362,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47366.81102118624,-56675.35146181005,-187500.02235174447,1479043308.552554,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47365.961654896935,-56022.79228243736,-187500.02235174447,1479043308.55275,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47829.15685524426,-56054.978794453,-187500.02235174447,1479043308.55295,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47867.69126268521,-56691.62353177351,-187500.02235174447,1479043308.553142,0
-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-47423.40563814707,-56748.218148734355,-187500.02235174447,1479043308.553333,0
