channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1479044015.546795,0
-47510.175110122575,-47428.21126320497,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39352.88361941381,-42005.02985775827,-187500.02235174447,1479044015.547026,0
-46272.514316143315,-46307.49479621587,-187500.02235174447,-187500.02235174447,-187500.02235174447,-37924.584796975236,-42105.12096942913,-187500.02235174447,1479044015.547201,0
-46442.16405655909,-46345.04572690079,-187500.02235174447,-187500.02235174447,-187500.02235174447,-38016.56222540882,-42179.01583659838,-187500.02235174447,1479044015.547374,0
-47680.67421682766,-47468.60086543571,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39427.24787321662,-42106.2385566519,-187500.02235174447,1479044015.547601,0
-47704.50117641702,-47608.92511712613,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39543.476944384216,-42038.535122696776,-187500.02235174447,1479044015.547815,0
-46459.10667885622,-46508.0793509578,-187500.02235174447,-187500.02235174447,-187500.02235174447,-38138.423936179155,-42115.58158583422,-187500.02235174447,1479044015.548028,0
-46302.1303775466,-46261.45020263794,-187500.02235174447,-187500.02235174447,-187500.02235174447,-37857.23899093139,-42214.39864807113,-187500.02235174447,1479044015.548244,0
-47512.700857246025,-47328.94716607895,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39225.724545207566,-42157.44640319901,-187500.02235174447,1479044015.548456,0
-47840.60094840538,-47734.5642727094,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39684.94113504185,-42066.65361722155,-187500.02235174447,1479044015.548668,0
-46667.67080636869,-46721.98554539509,-187500.02235174447,-187500.02235174447,-187500.02235174447,-38392.29504970253,-42120.07428646974,-187500.02235174447,1479044015.548878,0
-46199.20059432991,-46207.426036289464,-187500.02235174447,-187500.02235174447,-187500.02235174447,-37762.04291129624,-42232.816485502306,-187500.02235174447,1479044015.549133,0
-47316.117264761604,-47159.722108807815,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39012.086571703745,-42195.332610050755,-187500.02235174447,1479044015.549389,0
-47925.87285350238,-47807.40860788925,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39782.97588622283,-42095.710885013454,-187500.02235174447,1479044015.549722,0
-46907.75089356314,-46954.44368773028,-187500.02235174447,-187500.02235174447,-187500.02235174447,-38687.27102127922,-42107.19968166348,-187500.02235174447,1479044015.549979,0
-46144.32706169213,-46184.0014081003,-187500.02235174447,-187500.02235174447,-187500.02235174447,-37737.90302728451,-42212.14112188115,-187500.02235174447,1479044015.550203,0
-47086.49779397223,-46948.78869638308,-187500.02235174447,-187500.02235174447,-187500.02235174447,-38755.175620934446,-42197.277211818364,-187500.02235174447,1479044015.550398,0
-47954.23721721616,-47807.877994522816,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39806.42286615645,-42083.551536029765,-187500.02235174447,1479044015.55059,0
-47151.11668719252,-47161.71141406434,-187500.02235174447,-187500.02235174447,-187500.02235174447,-38981.1517573776,-42062.11621309712,-187500.02235174447,1479044015.550789,0
-46143.745916336295,-46187.778852913245,-187500.02235174447,-187500.02235174447,-187500.02235174447,-37766.222687509384,-42173.36084525118,-187500.02235174447,1479044015.551047,0
-46845.009546877096,-46716.53171974799,-187500.02235174447,-187500.02235174447,-187500.02235174447,-38461.80897495854,-42199.19946184152,-187500.02235174447,1479044015.551269,0
-47916.52982432006,-47740.755705923526,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39723.699059927356,-42079.505870283356,-187500.02235174447,1479044015.551468,0
-47376.51167827984,-47351.142448323066,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39212.514664234484,-42033.32716623869,-187500.02235174447,1479044015.551663,0
-46202.21807983137,-46256.24224617985,-187500.02235174447,-187500.02235174447,-187500.02235174447,-37823.66667075952,-42141.95664429148,-187500.02235174447,1479044015.551858,0
-46629.98576521704,-46529.38056342371,-187500.02235174447,-187500.02235174447,-187500.02235174447,-38210.24009111406,-42188.29181054733,-187500.02235174447,1479044015.552063,0
-47818.89740453928,-47635.05430639438,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39579.26208725716,-42098.929536215015,-187500.02235174447,1479044015.552256,0
-47599.51503271044,-47548.95538675254,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39423.38102142585,-42039.362137241624,-187500.02235174447,1479044015.552446,0
-46339.68130823151,-46409.731675354444,-187500.02235174447,-187500.02235174447,-187500.02235174447,-37969.22123065248,-42143.38715593662,-187500.02235174447,1479044015.552641,0
-46448.64606245114,-46395.337151925225,-187500.02235174447,-187500.02235174447,-187500.02235174447,-37972.462233598504,-42224.5686917983,-187500.02235174447,1479044015.552834,0
-47683.04350173992,-47515.584232280766,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39367.16638412075,-42156.30646423179,-187500.02235174447,1479044015.553042,0
-47787.15792741274,-47720.750894636025,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39585.16294779336,-42073.00151264686,-187500.02235174447,1479044015.553217,0
-46545.69733687608,-46615.39007608772,-187500.02235174447,-187500.02235174447,-187500.02235174447,-38199.62301249779,-42154.20540025299,-187500.02235174447,1479044015.553393,0
-46318.42479925451,-46303.337371747184,-187500.02235174447,-187500.02235174447,-187500.02235174447,-37839.24583664487,-42252.48602062297,-187500.02235174447,1479044015.553565,0
-47512.8126159683,-47353.66819544652,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39184.41852145416,-42182.63681920014,-187500.02235174447,1479044015.553737,0
-47921.40250461132,-47826.094666253884,-187500.02235174447,-187500.02235174447,-187500.02235174447,-39741.84867642506,-42085.07145465272,-187500.02235174447,1479044015.553909,0
-46770.77940354102,-46823.529520455544,-187500.02235174447,-187500.02235174447,-187500.02235174447,-38510.11109472646,-42117.07915271272,-187500.02235174447,1479044015.554084,0
